"Libellé";"Indice des prix des logements anciens - France métropolitaine - Ensemble - Base 100 en moyenne annuelle 2015 - Série brute";"Codes"
"idBank";"010567058";""
"Dernière mise à jour";"09/09/2025 08:45";""
"Période";"";""
"2025-T4";"";""
"2025-T3";"";""
"2025-T2";"125.8";"P"
"2025-T1";"126.1";"A"
"2024-T4";"126.0";"A"
"2024-T3";"127.5";"A"
"2024-T2";"125.4";"A"
"2024-T1";"125.8";"A"
"2023-T4";"128.8";"A"
"2023-T3";"132.6";"A"
"2023-T2";"132.0";"A"
"2023-T1";"132.7";"A"
"2022-T4";"134.0";"A"
"2022-T3";"135.1";"A"
"2022-T2";"131.3";"A"
"2022-T1";"129.3";"A"
"2021-T4";"128.2";"A"
"2021-T3";"126.9";"A"
"2021-T2";"122.9";"A"
"2021-T1";"120.5";"A"
"2020-T4";"119.6";"A"
"2020-T3";"118.1";"A"
"2020-T2";"115.7";"A"
"2020-T1";"113.7";"A"
"2019-T4";"112.4";"A"
"2019-T3";"112.2";"A"
"2019-T2";"109.4";"A"
"2019-T1";"108.3";"A"
"2018-T4";"108.3";"A"
"2018-T3";"108.8";"A"
"2018-T2";"106.1";"A"
"2018-T1";"105.2";"A"
"2017-T4";"104.9";"A"
"2017-T3";"105.7";"A"
"2017-T2";"103.2";"A"
"2017-T1";"102.1";"A"
"2016-T4";"101.6";"A"
"2016-T3";"102.3";"A"
"2016-T2";"100.1";"A"
"2016-T1";"99.7";"A"
"2015-T4";"100.1";"A"
"2015-T3";"101.0";"A"
"2015-T2";"99.5";"A"
"2015-T1";"99.4";"A"
"2014-T4";"100.6";"A"
"2014-T3";"102.9";"A"
"2014-T2";"102.2";"A"
"2014-T1";"101.9";"A"
"2013-T4";"103.2";"A"
"2013-T3";"104.4";"A"
"2013-T2";"103.6";"A"
"2013-T1";"103.8";"A"
"2012-T4";"105.2";"A"
"2012-T3";"106.9";"A"
"2012-T2";"106.0";"A"
"2012-T1";"105.9";"A"
"2011-T4";"107.4";"A"
"2011-T3";"108.7";"A"
"2011-T2";"106.2";"A"
"2011-T1";"104.0";"A"
"2010-T4";"103.6";"A"
"2010-T3";"102.4";"A"
"2010-T2";"99.2";"A"
"2010-T1";"97.2";"A"
"2009-T4";"96.3";"A"
"2009-T3";"96.1";"A"
"2009-T2";"94.3";"A"
"2009-T1";"96.0";"A"
"2008-T4";"100.4";"A"
"2008-T3";"104.2";"A"
"2008-T2";"103.7";"A"
"2008-T1";"103.7";"A"
"2007-T4";"104.4";"A"
"2007-T3";"103.6";"A"
"2007-T2";"101.2";"A"
"2007-T1";"99.4";"A"
"2006-T4";"98.7";"A"
"2006-T3";"98.0";"A"
"2006-T2";"94.7";"A"
"2006-T1";"91.9";"A"
"2005-T4";"89.7";"A"
"2005-T3";"88.1";"A"
"2005-T2";"83.9";"A"
"2005-T1";"80.4";"A"
"2004-T4";"78.1";"A"
"2004-T3";"76.3";"A"
"2004-T2";"72.5";"A"
"2004-T1";"69.6";"A"
"2003-T4";"67.4";"A"
"2003-T3";"66.1";"A"
"2003-T2";"63.3";"A"
"2003-T1";"60.9";"A"
"2002-T4";"59.7";"A"
"2002-T3";"59.2";"A"
"2002-T2";"56.6";"A"
"2002-T1";"54.7";"A"
"2001-T4";"54.2";"A"
"2001-T3";"54.2";"A"
"2001-T2";"52.5";"A"
"2001-T1";"50.9";"A"
"2000-T4";"50.2";"A"
"2000-T3";"50.4";"A"
"2000-T2";"48.6";"A"
"2000-T1";"47.1";"A"
"1999-T4";"46.4";"A"
"1999-T3";"46.3";"A"
"1999-T2";"44.5";"A"
"1999-T1";"43.4";"A"
"1998-T4";"42.8";"A"
"1998-T3";"43.0";"A"
"1998-T2";"42.0";"A"
"1998-T1";"41.0";"A"
"1997-T4";"41.7";"A"
"1997-T3";"41.9";"A"
"1997-T2";"41.5";"A"
"1997-T1";"40.3";"A"
"1996-T4";"41.9";"A"
"1996-T3";"42.1";"A"
"1996-T2";"41.3";"A"
"1996-T1";"40.8";"A"
