expirygroup,expiryDate,c_Last,c_Change,c_Bid,c_Ask,c_Volume,c_Openinterest,c_colour,strike,p_Last,p_Change,p_Bid,p_Ask,p_Volume,p_Openinterest,p_colour,drillDownURL
,Oct 31,76.42,13.42,76.05,79.00,1,2,True,677.50,3.06,-2.24,3.10,3.25,202,153,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00677500
,Oct 31,75.09,10.21,74.15,76.75,46,577,True,680.00,3.40,-2.44,3.40,3.50,2197,2123,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00680000
,Oct 31,60.89,--,71.65,74.60,--,12,True,682.50,3.66,-2.74,3.70,3.85,496,280,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00682500
,Oct 31,69.59,7.77,69.95,72.35,8,146,True,685.00,4.08,-2.65,4.05,4.20,1307,1209,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00685000
,Oct 31,58.05,--,67.35,70.30,--,26,True,687.50,4.42,-2.85,4.40,4.55,238,188,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00687500
,Oct 31,66.38,9.77,65.80,67.25,49,253,True,690.00,4.85,-3.00,4.80,4.95,1927,2184,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00690000
,Oct 31,65.65,10.95,63.75,65.20,34,18,True,692.50,5.18,-3.60,5.20,5.40,390,156,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00692500
,Oct 31,64.25,11.25,61.30,63.10,61,406,True,695.00,5.70,-3.33,5.70,5.85,812,1657,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00695000
,Oct 31,61.25,9.62,59.35,61.15,28,167,True,697.50,6.10,-3.80,6.15,6.35,374,836,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00697500
,Oct 31,58.10,8.85,57.65,58.50,275,2898,True,700.00,6.80,-3.59,6.65,6.85,3555,7214,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00700000
,Oct 31,56.30,8.45,55.15,56.70,64,84,True,702.50,7.15,-4.15,7.25,7.40,342,499,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00702500
,Oct 31,55.07,9.07,54.00,54.50,119,588,True,705.00,7.82,-4.17,7.80,8.00,708,1059,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00705000
,Oct 31,51.60,6.65,52.10,52.70,11,99,True,707.50,8.55,-4.25,8.35,8.65,261,197,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00707500
,Oct 31,53.05,10.25,50.30,50.80,331,1238,True,710.00,9.14,-4.69,9.10,9.30,1379,2393,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00710000
,Oct 31,49.27,7.98,48.50,48.95,24,234,True,712.50,9.67,-4.90,9.65,10.00,330,359,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00712500
,Oct 31,47.35,8.16,46.80,47.20,758,1625,True,715.00,10.35,-5.10,10.50,10.75,858,1493,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00715000
,Oct 31,45.75,7.64,45.00,45.45,70,133,True,717.50,11.20,-5.20,11.25,11.50,216,258,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00717500
,Oct 31,44.05,7.70,43.35,43.75,529,2089,True,720.00,12.00,-5.59,12.00,12.35,1225,2041,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00720000
,Oct 31,42.57,7.92,41.70,42.10,113,333,True,722.50,12.31,-6.29,12.85,13.15,159,143,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00722500
,Oct 31,40.60,7.22,40.05,40.50,330,1434,True,725.00,13.94,-5.49,13.75,14.10,1028,1051,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00725000
,Oct 31,39.75,7.45,38.50,38.90,223,240,True,727.50,13.90,-6.85,14.65,15.00,426,340,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00727500
,Oct 31,37.99,6.94,36.95,37.35,1387,1784,True,730.00,15.85,-6.10,15.60,15.95,2472,6676,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00730000
,Oct 31,36.60,7.48,35.40,35.85,521,714,True,732.50,16.50,-6.57,16.65,16.95,228,271,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00732500
,Oct 31,34.96,6.66,34.05,34.35,1024,3062,True,735.00,17.73,-6.19,17.70,18.00,647,765,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00735000
,Oct 31,32.85,5.90,32.60,32.90,345,620,True,737.50,18.47,-6.80,18.70,19.05,370,405,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00737500
,Oct 31,31.20,5.45,31.20,31.55,1275,2065,True,740.00,19.57,-6.94,19.85,20.15,1777,4217,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00740000
,Oct 31,30.65,6.21,29.75,30.20,363,604,True,742.50,20.55,-7.56,20.95,21.30,743,72,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00742500
,Oct 31,29.30,5.90,28.45,28.85,862,1302,True,745.00,21.94,-7.61,22.10,22.45,1103,536,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00745000
,Oct 31,28.30,6.05,27.25,27.55,778,256,True,747.50,22.75,-10.65,23.35,23.70,668,37,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00747500
,Oct 31,25.95,4.85,26.00,26.30,9054,6129,True,750.00,24.50,-7.50,24.65,24.95,3668,765,False,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00750000
,Oct 31,23.95,4.85,23.60,23.85,5491,2573,False,755.00,27.04,-10.40,27.20,27.55,1100,147,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00755000
,Oct 31,21.50,4.40,21.30,21.60,2797,3651,False,760.00,28.30,-9.50,29.95,30.30,326,348,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00760000
,Oct 31,19.70,4.45,19.15,19.45,921,1631,False,765.00,31.05,-10.15,32.80,33.20,99,189,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00765000
,Oct 31,17.75,4.10,17.20,17.45,2203,2868,False,770.00,35.32,-9.58,35.80,36.20,215,385,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00770000
,Oct 31,15.45,3.38,15.30,15.60,2939,2154,False,775.00,38.20,-9.95,38.95,39.35,121,112,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00775000
,Oct 31,13.90,3.23,13.60,13.85,2338,2407,False,780.00,41.73,-9.91,42.20,42.60,118,154,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00780000
