expirygroup,expiryDate,c_Last,c_Change,c_Bid,c_Ask,c_Volume,c_Openinterest,c_colour,strike,p_Last,p_Change,p_Bid,p_Ask,p_Volume,p_Openinterest,p_colour,drillDownURL
,Oct 31,19.62,4.92,18.75,20.00,702,2142,True,172.50,0.65,-0.08,0.62,0.65,13348,13204,False,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00172500
,Oct 31,17.39,4.89,16.80,17.50,1996,8405,True,175.00,0.78,-0.20,0.75,0.79,23555,25639,False,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00175000
,Oct 31,15.05,4.78,14.55,15.30,2624,3224,True,177.50,0.96,-0.39,0.92,0.98,21779,13479,False,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00177500
,Oct 31,12.77,4.49,12.55,13.00,7564,19002,True,180.00,1.18,-0.67,1.18,1.21,47963,38950,False,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00180000
,Oct 31,10.65,4.20,10.60,10.70,9069,12210,True,182.50,1.54,-1.01,1.53,1.57,27496,15374,False,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00182500
,Oct 31,8.65,3.75,8.65,8.70,20971,41890,True,185.00,2.08,-1.37,2.05,2.11,54708,28496,False,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00185000
,Oct 31,6.89,3.29,6.80,6.90,25167,67395,True,187.50,2.80,-1.88,2.78,2.80,35191,4851,False,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00187500
,Oct 31,5.35,2.86,5.25,5.35,178626,143579,True,190.00,3.72,-2.43,3.70,3.80,60761,9792,False,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00190000
,Oct 31,4.03,2.33,4.00,4.05,147824,39059,False,192.50,4.91,-2.94,4.90,5.00,17873,1965,True,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00192500
,Oct 31,2.96,1.82,2.96,3.00,186890,61899,False,195.00,6.38,-3.41,6.35,6.45,6553,2152,True,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00195000
,Oct 31,2.17,1.43,2.16,2.19,56541,67256,False,197.50,8.05,-3.70,8.05,8.15,1437,559,True,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00197500
,Oct 31,1.61,1.14,1.57,1.61,234580,46691,False,200.00,9.95,-4.14,9.95,10.10,3365,2715,True,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00200000
,Oct 31,1.18,0.87,1.17,1.20,54043,9746,False,202.50,12.15,-4.37,11.55,12.50,682,51,True,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00202500
,Oct 31,0.87,0.68,0.87,0.90,225699,23875,False,205.00,14.50,-4.45,13.75,14.70,679,226,True,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00205000
,Oct 31,0.65,0.51,0.64,0.67,93005,4852,False,207.50,16.80,-5.30,15.85,16.95,590,16,True,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00207500
,Oct 31,0.47,0.37,0.47,0.48,72455,19908,False,210.00,19.85,-3.80,18.35,19.65,243,270,True,/fr/market-activity/stocks/nvda/option-chain/call-put-options/nvda--251031c00210000
