expirygroup,expiryDate,c_Last,c_Change,c_Bid,c_Ask,c_Volume,c_Openinterest,c_colour,strike,p_Last,p_Change,p_Bid,p_Ask,p_Volume,p_Openinterest,p_colour,drillDownURL
,Oct 28,--,--,"2,423.10","2,623.10",--,--,True,"23,300.00",0.60,-15.00,--,0.35,7,10,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23300000
,Oct 28,--,--,"2,323.20","2,523.20",--,--,True,"23,400.00",0.50,-20.95,0.10,0.40,52,5,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23400000
,Oct 28,--,--,"2,223.20","2,423.20",--,--,True,"23,500.00",0.50,-2.92,0.15,0.40,11,16,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23500000
,Oct 28,--,--,"2,213.20","2,413.20",--,--,True,"23,510.00",--,--,--,0.40,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23510000
,Oct 28,--,--,"2,203.20","2,403.20",--,--,True,"23,520.00",--,--,--,0.45,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23520000
,Oct 28,--,--,"2,193.20","2,393.20",--,--,True,"23,530.00",--,--,--,0.45,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23530000
,Oct 28,--,--,"2,183.20","2,383.20",--,--,True,"23,540.00",--,--,--,0.45,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23540000
,Oct 28,--,--,"2,173.20","2,373.20",--,--,True,"23,550.00",--,--,--,0.45,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23550000
,Oct 28,--,--,"2,163.20","2,363.20",--,--,True,"23,560.00",8.00,--,--,0.45,--,4,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23560000
,Oct 28,--,--,"2,153.20","2,353.20",--,--,True,"23,570.00",--,--,--,0.45,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23570000
,Oct 28,--,--,"2,143.30","2,343.30",--,--,True,"23,580.00",--,--,--,0.45,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23580000
,Oct 28,--,--,"2,133.30","2,333.30",--,--,True,"23,590.00",--,--,--,0.45,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23590000
,Oct 28,--,--,"2,123.30","2,323.30",--,--,True,"23,600.00",0.61,-3.69,--,0.45,2,3,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23600000
,Oct 28,--,--,"2,113.30","2,313.30",--,--,True,"23,610.00",--,--,--,0.45,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23610000
,Oct 28,--,--,"2,103.30","2,303.30",--,--,True,"23,620.00",9.00,--,0.05,0.45,--,12,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23620000
,Oct 28,--,--,"2,093.30","2,293.30",--,--,True,"23,630.00",23.10,--,0.05,0.45,--,3,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23630000
,Oct 28,--,--,"2,083.30","2,283.30",--,--,True,"23,640.00",--,--,0.10,0.45,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23640000
,Oct 28,--,--,"2,073.30","2,273.30",--,--,True,"23,650.00",0.72,--,0.05,0.90,1,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23650000
,Oct 28,--,--,"2,063.30","2,263.30",--,--,True,"23,660.00",--,--,0.05,0.45,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23660000
,Oct 28,--,--,"2,053.30","2,253.30",--,--,True,"23,670.00",--,--,0.05,0.45,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23670000
,Oct 28,--,--,"2,043.30","2,243.30",--,--,True,"23,680.00",--,--,--,0.85,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23680000
